Bedrooms,Bathrooms,Floor_num,Floor_area,Price
3,3,5,1800,16000000
3,3,2,1250,5250000
3,3,4,2200,21000000
3,3,2,1500,12000000
3,3,5,1500,16000000
,,10,3226,30000000
2,2,3,612,2900000
2,2,1,650,4000000
3,3,4,1220,9500000
2,2,4,1020,5000000
3,3,2,1310,9825000
3,3,2,1310,12000000
2,2,4,650,2800000
2,2,4,650,2800000
3,3,1,1550,8600000
2,2,1,930,5200000
2,2,3,930,5200000
4,4,9,2400,26000000
3,3,1,1260,5796000
2,2,1,700,3500000
3,2,4,1240,8060000
3,2,4,1450,9425000
3,3,6,1254,8300000
3,3,7,1425,9975000
3,3,3,1315,7375000
3,3,8,1330,6916000
3,3,1,1400,6000000
3,4,2,1796,14000000
3,3,1,1400,8140000
3,3,3,1236,7000000
3,3,3,1150,6000000
3,2,6,1090,5500000
3,2,1,1108,5500000
2,2,4,900,5000000
3,4,4,1695,13500000
,,3,6200,155000000
4,4,8,2600,49500000
3,3,2,1252,7000000
3,3,1,1500,8250000
3,2,4,1100,6050000
3,4,6,1611,15500000
3,2,4,1050,5500000
3,3,8,1200,6000000
3,3,3,2050,19500000
2,2,4,800,4445000
3,3,7,1495,15750000
3,3,5,1475,15550000
3,3,6,1500,12800000
3,3,9,1450,8675000
3,3,7,1400,8400000
3,3,2,1180,6500000
2,2,3,780,2730000
3,2,7,1100,4950000
3,2,5,1100,4950000
3,2,4,1100,4950000
3,2,3,1100,4950000
3,2,3,1100,4950000
3,3,13,1096,6600000
3,3,3,1365,7507500
3,3,5,1365,7507500
3,3,5,1365,7507500
3,4,6,2415,25500000
2,2,3,810,3402000
3,3,3,1550,11500000
3,3,7,1050,3750000
4,4,4,4200,50400000
3,3,4,1400,6300000
3,3,9,1400,6300000
2,2,6,1000,4500000
4,3,6,1518,10000000
4,4,8,1250,12500000
4,4,5,2230,16000000
3,2,3,1200,6500000
3,3,1,1050,4500000
2,2,2,650,4225000
3,3,5,1200,5400000
3,3,6,1200,5400000
3,2,2,1100,4950000
3,3,8,1396,11500000
3,3,8,1300,7800000
3,3,7,1300,7800000
3,3,6,1100,6600000
3,3,5,1250,7000000
3,3,5,1255,6902500
3,3,3,1255,6902500
3,3,8,1270,6985000
3,3,7,1255,6902500
4,4,7,2700,27000000
4,4,4,2200,19000000
3,3,1,1150,9000000
3,3,5,1156,6800000
3,3,1,1270,6000000
2,2,6,900,5500000
2,2,6,900,5500000
3,2,3,900,6000000
3,3,5,1200,7200000
3,3,3,1200,8600000
3,3,4,1830,23000000
3,3,7,1300,7400000
3,3,8,1634,9800000
3,4,12,1950,11000000
3,3,5,1294,10000000
3,3,2,1400,8000000
2,2,5,700,4000000
3,3,5,1250,11675000
3,3,1,1250,7500000
3,3,6,1550,10850000
3,3,6,1450,10150000
2,2,2,855,4275000
,,9,2154,32310000
,,8,2154,32310000
3,3,2,1513,13500000
3,4,5,2000,20000000
3,3,,1175,9987500
3,3,3,1100,9000000
3,4,1,1637,12000000
3,3,5,1425,11500000
3,3,2,1500,12000000
4,4,3,2225,23500000
3,4,7,2255,22000000
3,3,3,1400,6300000
3,3,5,1400,6300000
2,2,2,1000,4500000
3,3,3,1090,6540000
3,3,3,1463,5852000
3,3,1,1650,7500000
3,2,3,1125,4775000
3,2,3,1125,4775000
3,2,8,1150,4870000
2,2,5,600,2600000
3,3,6,2060,18540000
3,3,1,1425,19950000
3,3,7,1280,7680000
4,4,1,2650,21000000
3,3,1,1218,11000000
3,3,5,1475,15000000
3,3,5,1500,7300000
3,3,6,1275,10600000
2,2,6,800,4000000
2,2,5,785,8250000
3,3,8,1800,16000000
3,3,5,1700,18500000
3,3,3,1125,9500000
3,2,6,1200,11500000
2,2,1,1000,7500000
3,2,1,1150,9000000
3,4,7,2200,22000000
2,3,6,850,6500000
3,3,7,1500,12000000
7,8,1,15120,85000000
3,3,4,1227,5800000
3,3,9,1625,11000000
2,2,2,900,6500000
3,3,5,1465,8600000
3,3,2,1600,12000000
3,3,4,1180,6490000
3,3,6,1215,7500000
3,3,1,1410,13395000
2,2,9,922,5000000
3,4,3,1350,12150000
3,2,1,820,3700000
3,3,2,1470,7000000
3,2,1,1090,5500000
3,3,2,1550,14500000
,,,5824,300000000
3,4,5,1654,12500000
3,2,1,1140,6100000
3,3,9,1500,10800000
4,4,5,2350,29000000
3,3,1,1950,10725000
3,3,5,1200,6600000
,,,22050,200000000
3,2,2,1185,7700000
3,3,8,1250,7000000
3,2,3,950,4400000
3,3,13,1400,8200000
3,4,7,2009,19900000
3,4,5,1575,16000000
3,3,9,1400,8140000
3,2,5,975,5000000
3,3,9,1350,6500000
3,2,4,1115,5800000
,,,3132,27000000
2,2,4,1000,6000000
3,3,9,1250,6500000
6,4,7,2829,42435000
3,3,8,1650,16000000
3,4,8,1654,9500000
4,4,8,2200,22000000
3,3,9,1245,9000000
3,2,4,915,4000000
1,1,3,250,3400000
3,2,8,1000,5500000
4,4,7,2150,18875000
4,4,8,2150,18575000
2,2,2,1200,7000000
3,3,4,1206,14000000
2,2,1,650,3200000
3,2,5,1050,4725000
2,2,1,950,4275000
4,4,12,1600,7500000
3,3,2,1873,25500000
3,3,3,1515,19900000
2,2,4,650,3500000
2,2,5,1015,6000000
3,2,7,1125,4775000
4,4,9,1900,19000000
3,2,6,1095,7500000
3,2,6,1000,7000000
2,2,5,800,4000000
3,3,8,1616,7272000
3,2,8,1140,6200000
3,3,6,1465,8800000
2,2,4,650,2400000
3,5,5,2100,29000000
2,2,5,750,4200000
4,3,7,1160,4408000
8,4,,2146,10500000
3,2,9,900,2900000
2,2,6,1050,3360000
3,3,2,1250,11500000
3,3,9,1675,9712500
3,3,1,1300,7500000
3,4,1,2787,29000000
4,4,9,5040,54000000
3,2,5,986,6200000
2,2,5,920,3300000
3,3,1,1275,8500000
3,3,6,1350,8800000
2,2,1,1000,3500000
3,3,9,1770,9000000
